name,album,release_date,length,popularity,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,progressive
Finding My Way,Rush,1/1/1974,305933,46,0.316,0.0553,0.795,0.0797,0.175,-8.97,0.0453,140.955,4,0
Need Some Love,Rush,1/1/1974,139640,38,0.516,0.00474,0.922,4.18E-05,0.173,-7.764,0.0515,99.93,4,0
Take A Friend,Rush,1/1/1974,264066,37,0.421,0.00995,0.835,0.00024,0.437,-9.415,0.0447,93.837,4,0
Here Again,Rush,1/1/1974,454560,42,0.471,0.0941,0.493,0.0263,0.103,-10.465,0.0319,96.786,4,0
What You're Doing,Rush,1/1/1974,262106,39,0.436,0.0305,0.826,0.00572,0.128,-9.457,0.0532,99.106,4,0
In The Mood,Rush,1/1/1974,213853,38,0.597,0.0683,0.821,0,0.389,-9.53,0.0367,131.754,4,0
Before And After,Rush,1/1/1974,334600,36,0.32,0.016,0.773,0.0188,0.291,-9.553,0.0606,100.829,4,0
Working Man,Rush,1/1/1974,429973,62,0.202,0.00383,0.835,0.0388,0.126,-11.04,0.0599,156.883,4,0
Best I Can,Fly By Night,2/15/1975,205573,36,0.545,0.00152,0.849,0.418,0.412,-8.639,0.0397,142.012,4,1
"Beneath, Between & Behind",Fly By Night,2/15/1975,181933,35,0.484,0.016,0.854,0.000128,0.382,-8.142,0.048,113.201,4,1
Anthem,Fly By Night,2/15/1975,261760,45,0.333,0.00814,0.919,0.328,0.317,-8.124,0.0794,139.298,4,1
Making Memories,Fly By Night,2/15/1975,177706,35,0.644,0.0119,0.701,0.00529,0.146,-10.085,0.0358,111.193,4,1
In The End,Fly By Night,2/15/1975,406600,35,0.321,0.0174,0.56,0.159,0.112,-10.704,0.0453,168.357,4,1
Rivendell,Fly By Night,2/15/1975,297093,34,0.376,0.966,0.0333,0.264,0.111,-23.826,0.0515,162.591,4,1
By-Tor And The Snow Dog,Fly By Night,2/15/1975,517373,33,0.317,0.00169,0.698,0.283,0.0953,-10.214,0.0824,162.132,4,1
Fly By Night,Fly By Night,2/15/1975,202200,57,0.501,0.0872,0.702,0.000994,0.0671,-8.543,0.0671,139.095,4,1
Bastille Day,Caress Of Steel,9/24/1975,277133,43,0.414,0.344,0.737,0.00172,0.67,-8.662,0.0478,100.12,4,1
The Necromancer,Caress Of Steel,9/24/1975,748800,35,0.385,0.085,0.554,0.00834,0.219,-9.969,0.0682,113.646,4,1
I Think I'm Going Bald,Caress Of Steel,9/24/1975,217773,31,0.413,0.0482,0.748,0.0017,0.18,-8.064,0.0688,130.322,4,1
The Fountain Of Lamneth,Caress Of Steel,9/24/1975,1197866,33,0.489,0.345,0.444,0.000257,0.113,-12.461,0.0614,114.696,4,1
Lakeside Park - Live,Caress Of Steel,9/24/1975,247600,41,0.5,0.106,0.611,0.000565,0.112,-11.639,0.0354,94.993,4,1
A Passage To Bangkok,2112,4/1/1976,214893,48,0.222,0.483,0.837,6.21E-05,0.367,-6.49,0.0794,200.342,4,1
Something For Nothing,2112,4/1/1976,238933,39,0.368,0.00897,0.658,0,0.274,-7.678,0.0521,140.989,4,1
